method,split,task,family,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,out_of_distribution_action,10,0.674853,0.029467,0.125385,0.019313,0.433333,0.155524,0.800000,0.117277,0.000000,0.000000,0.194920,0.016114,0.199027,0.067454,0.262562,0.061309,0.800000,0.117277,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,sensor_corruption,10,0.505009,0.019624,0.134659,0.019318,0.450000,0.146495,0.700000,0.106689,0.000000,0.000000,0.201930,0.015994,0.398987,0.049666,0.067408,0.051880,0.733333,0.099798,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,aleatoric_sensor_noise,10,0.590294,0.008571,0.085840,0.003425,0.333333,0.097393,0.000000,0.000000,0.033333,0.043556,0.090098,0.006662,0.113931,0.010320,0.338376,0.013530,0.033333,0.043556,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,controller_instability,10,0.579273,0.038805,0.201685,0.025175,0.483333,0.113683,0.366667,0.117277,0.000000,0.000000,0.143263,0.018635,0.515472,0.082313,0.035282,0.081940,0.366667,0.117277,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,epistemic_unknown,10,0.600482,0.007983,0.079647,0.008097,0.466667,0.081485,0.883333,0.069723,0.000000,0.000000,0.217014,0.010420,0.260327,0.017870,0.273349,0.018687,0.883333,0.069723,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,goal_specification_ambiguity,10,0.595910,0.012846,0.076586,0.008115,0.383333,0.119778,0.933333,0.053344,0.000000,0.000000,0.227462,0.007545,0.228562,0.021582,0.268197,0.025970,0.950000,0.049899,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,model_misspecification,10,0.629952,0.036539,0.144929,0.022833,0.466667,0.081485,0.516667,0.164779,0.000000,0.000000,0.151236,0.021823,0.314233,0.077035,0.205243,0.071999,0.533333,0.174222,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,multi_modal_valid_plans,10,0.599455,0.016087,0.048299,0.004831,0.383333,0.119778,0.000000,0.000000,0.250000,0.111578,0.123500,0.017183,0.073641,0.012795,0.406747,0.022629,0.250000,0.111578,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,out_of_distribution_action,10,0.656676,0.026598,0.140864,0.016803,0.533333,0.094927,0.633333,0.094927,0.000000,0.000000,0.163153,0.011714,0.257105,0.056386,0.232568,0.056005,0.633333,0.094927,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,mobile_navigation_under_sensor_noise,sensor_corruption,10,0.585958,0.009244,0.095932,0.010092,0.366667,0.081485,0.850000,0.123674,0.000000,0.000000,0.213788,0.013800,0.270322,0.019831,0.225256,0.021812,0.866667,0.094927,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,aleatoric_sensor_noise,10,0.574098,0.019954,0.096650,0.005621,0.350000,0.149697,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.151537,0.022582,0.301969,0.032320,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,controller_instability,10,0.527866,0.035232,0.237285,0.023399,0.400000,0.147704,0.250000,0.087789,0.000000,0.000000,0.124275,0.013792,0.622138,0.075965,-0.081154,0.077540,0.250000,0.087789,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,epistemic_unknown,10,0.555845,0.016449,0.114286,0.011602,0.500000,0.108889,0.616667,0.109432,0.000000,0.000000,0.186809,0.015307,0.347231,0.030589,0.173649,0.033808,0.633333,0.094927,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,goal_specification_ambiguity,10,0.530754,0.024363,0.145769,0.027260,0.366667,0.106689,0.383333,0.169041,0.000000,0.000000,0.159885,0.031078,0.384522,0.061794,0.098144,0.062832,0.466667,0.193565,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,model_misspecification,10,0.636842,0.034910,0.139837,0.022144,0.516667,0.123674,0.566667,0.121254,0.000000,0.000000,0.160220,0.016741,0.289794,0.073701,0.217047,0.072359,0.600000,0.130667,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,multi_modal_valid_plans,10,0.605669,0.016673,0.063682,0.003306,0.350000,0.123674,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.078496,0.013811,0.406069,0.023947,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,out_of_distribution_action,10,0.611971,0.030635,0.167145,0.020475,0.466667,0.117277,0.533333,0.117277,0.000000,0.000000,0.150867,0.014484,0.351346,0.066678,0.138644,0.065899,0.533333,0.117277,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,articulated_tool_use_with_occlusion,sensor_corruption,10,0.534124,0.020116,0.146563,0.022223,0.483333,0.123674,0.483333,0.141556,0.000000,0.000000,0.167473,0.022603,0.395067,0.050865,0.094454,0.053623,0.516667,0.141556,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,aleatoric_sensor_noise,10,0.591670,0.011568,0.092782,0.003318,0.383333,0.109432,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.135767,0.015354,0.328051,0.018867,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,controller_instability,10,0.566747,0.039201,0.214421,0.025223,0.433333,0.053344,0.366667,0.106689,0.000000,0.000000,0.142218,0.016649,0.545966,0.087368,-0.004532,0.083350,0.366667,0.106689,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,epistemic_unknown,10,0.544845,0.016948,0.122774,0.009935,0.433333,0.139446,0.583333,0.073045,0.000000,0.000000,0.182358,0.012191,0.381834,0.028276,0.147092,0.034879,0.583333,0.073045,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,goal_specification_ambiguity,10,0.505154,0.020791,0.170338,0.014845,0.350000,0.141556,0.316667,0.058638,0.000000,0.000000,0.137962,0.009807,0.457970,0.040694,0.033837,0.047660,0.316667,0.058638,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,model_misspecification,10,0.639941,0.036926,0.139978,0.022483,0.433333,0.121254,0.550000,0.138165,0.000000,0.000000,0.159903,0.014623,0.292009,0.077177,0.220057,0.076288,0.600000,0.121254,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,multi_modal_valid_plans,10,0.614900,0.022362,0.062095,0.004968,0.250000,0.087789,0.000000,0.000000,0.016667,0.032667,0.087601,0.005098,0.074004,0.022135,0.416969,0.032388,0.016667,0.032667,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,out_of_distribution_action,10,0.591084,0.030491,0.183027,0.019750,0.400000,0.099798,0.433333,0.111045,0.000000,0.000000,0.137867,0.013548,0.408157,0.067826,0.091918,0.065156,0.433333,0.111045,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,bimanual_manipulation_failure_detection,sensor_corruption,10,0.533464,0.016101,0.132925,0.022111,0.466667,0.126985,0.633333,0.174222,0.000000,0.000000,0.192639,0.025053,0.387103,0.045998,0.106183,0.047015,0.650000,0.149697,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,aleatoric_sensor_noise,10,0.578435,0.012598,0.093481,0.004981,0.500000,0.097393,0.000000,0.000000,0.016667,0.032667,0.087566,0.005029,0.148519,0.017559,0.311481,0.021096,0.016667,0.032667,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,controller_instability,10,0.557907,0.039915,0.216552,0.026280,0.533333,0.065333,0.283333,0.119778,0.000000,0.000000,0.128619,0.018440,0.565377,0.086762,-0.008542,0.085710,0.283333,0.119778,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,epistemic_unknown,10,0.558646,0.015396,0.119263,0.016255,0.466667,0.106689,0.516667,0.132916,0.000000,0.000000,0.176057,0.022061,0.360757,0.035138,0.173027,0.037956,0.533333,0.126985,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,goal_specification_ambiguity,10,0.526641,0.022737,0.154989,0.019774,0.416667,0.111578,0.350000,0.113683,0.000000,0.000000,0.145462,0.019639,0.414085,0.048795,0.083840,0.054452,0.350000,0.113683,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,model_misspecification,10,0.621527,0.046336,0.151661,0.028031,0.433333,0.121254,0.550000,0.146495,0.000000,0.000000,0.150450,0.017433,0.329929,0.096044,0.182558,0.096260,0.550000,0.146495,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,multi_modal_valid_plans,10,0.613987,0.012414,0.061312,0.002424,0.383333,0.146495,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.074423,0.012166,0.419600,0.017746,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,out_of_distribution_action,10,0.599602,0.028400,0.176010,0.017982,0.366667,0.117277,0.433333,0.121254,0.000000,0.000000,0.139132,0.014402,0.389819,0.066035,0.114988,0.059050,0.450000,0.119778,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,contact_rich_pick_and_place,sensor_corruption,10,0.551395,0.014490,0.128942,0.013086,0.333333,0.084345,0.566667,0.121254,0.000000,0.000000,0.184664,0.017517,0.364966,0.030866,0.138458,0.032917,0.583333,0.100391,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,aleatoric_sensor_noise,10,0.593543,0.013401,0.088742,0.003625,0.400000,0.147704,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.111731,0.015918,0.338810,0.021376,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,controller_instability,10,0.554075,0.032318,0.217765,0.021305,0.533333,0.117277,0.300000,0.106689,0.000000,0.000000,0.132655,0.016948,0.553128,0.072224,-0.017865,0.069508,0.300000,0.106689,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,epistemic_unknown,10,0.572335,0.013045,0.097325,0.012849,0.483333,0.171824,0.716667,0.098000,0.000000,0.000000,0.205288,0.016345,0.307414,0.027497,0.214517,0.030145,0.733333,0.099798,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,goal_specification_ambiguity,10,0.538424,0.013034,0.138535,0.011112,0.333333,0.119282,0.433333,0.072229,0.000000,0.000000,0.164226,0.009616,0.365638,0.027653,0.118688,0.031455,0.483333,0.058638,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,model_misspecification,10,0.654955,0.025023,0.126095,0.016140,0.316667,0.123674,0.616667,0.109432,0.000000,0.000000,0.167995,0.014799,0.244149,0.055311,0.259949,0.050495,0.650000,0.113683,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,multi_modal_valid_plans,10,0.595752,0.018518,0.061853,0.004198,0.183333,0.123674,0.000000,0.000000,0.016667,0.032667,0.087647,0.005189,0.073805,0.017035,0.398322,0.026204,0.016667,0.032667,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,out_of_distribution_action,10,0.627184,0.038373,0.154836,0.025354,0.366667,0.136002,0.583333,0.131120,0.000000,0.000000,0.158500,0.016521,0.305523,0.084194,0.175594,0.082973,0.583333,0.131120,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,deformable_object_handling,sensor_corruption,10,0.539793,0.011636,0.137598,0.016248,0.466667,0.065333,0.550000,0.138165,0.000000,0.000000,0.177352,0.021328,0.373815,0.033565,0.112929,0.032038,0.566667,0.130667,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,aleatoric_sensor_noise,10,0.570081,0.013756,0.098261,0.003903,0.466667,0.160033,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.146811,0.017356,0.294407,0.022342,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,controller_instability,10,0.538753,0.055040,0.233109,0.033863,0.483333,0.090450,0.316667,0.157419,0.000000,0.000000,0.139309,0.024291,0.608179,0.115558,-0.071604,0.112816,0.333333,0.146090,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,epistemic_unknown,10,0.535050,0.020160,0.124521,0.019520,0.550000,0.119778,0.583333,0.131120,0.000000,0.000000,0.180729,0.018663,0.388930,0.045924,0.134594,0.050988,0.616667,0.119778,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,goal_specification_ambiguity,10,0.526871,0.012795,0.145994,0.011610,0.366667,0.167278,0.433333,0.087111,0.000000,0.000000,0.158428,0.012826,0.398511,0.027245,0.094785,0.030912,0.466667,0.081485,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,model_misspecification,10,0.619623,0.042001,0.150465,0.026098,0.533333,0.094927,0.533333,0.144457,0.000000,0.000000,0.161948,0.018784,0.335201,0.088313,0.175236,0.086717,0.566667,0.139446,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,multi_modal_valid_plans,10,0.591290,0.013076,0.067055,0.002620,0.300000,0.094927,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.082496,0.012711,0.384268,0.018839,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,out_of_distribution_action,10,0.624237,0.044905,0.158105,0.030037,0.483333,0.090450,0.550000,0.146495,0.000000,0.000000,0.164182,0.022579,0.324623,0.101711,0.161479,0.095396,0.583333,0.163333,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,legged_locomotion_disturbance,sensor_corruption,10,0.530160,0.020004,0.141657,0.022497,0.366667,0.094927,0.566667,0.139446,0.000000,0.000000,0.175801,0.021776,0.398808,0.052051,0.095455,0.054091,0.583333,0.139870,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,mobile_navigation_under_sensor_noise,aleatoric_sensor_noise,10,0.600623,0.014891,0.085280,0.003922,0.383333,0.138165,0.000000,0.000000,0.000000,0.000000,0.085000,0.000000,0.117310,0.017316,0.353508,0.023520,0.000000,0.000000,1.000000,0.000000
bayesian_active_model_selection,controller_instability_shift,mobile_navigation_under_sensor_noise,controller_instability,10,0.520316,0.023880,0.231016,0.020508,0.333333,0.153992,0.133333,0.065333,0.000000,0.000000,0.108563,0.012179,0.643068,0.050336,-0.067580,0.051580,0.150000,0.076222,0.983333,0.032667
bayesian_active_model_selection,controller_instability_shift,mobile_navigation_under_sensor_noise,epistemic_unknown,10,0.577959,0.022576,0.123142,0.017028,0.450000,0.146495,0.483333,0.102726,0.000000,0.000000,0.154769,0.014828,0.350441,0.045289,0.198709,0.050596,0.483333,0.102726,1.000000,0.000000
